Secuencia,Nombre común,Diámetro (cm),Altura total (m),Altura comercial (m),Volumen comercial (m3),Valor comercial aproximado (CRC)
I5196,arenillo,27,9,,0,0
I5197,frijolillo,25.8,20,10,0,7570.03
I5198,frijolillo,24,20,10,0,6550.60
I5199,guácimo,18.2,8,,0,0
I5200,guácimo,16.5,8,,0,0
I5201,frijolillo,28.5,20,3,0,2771.21
I5202,guácimo,26.3,10,3,0,1622.42
I5203,guácimo,20.4,10,3,0,976.14
I5204,guácimo,15,10,2,0,351.84
I5205,carao espinoso,22.6,15,,0,0
I5206,frijolillo,24.5,20,6,0,4095.83
I5207,frijolillo,35.3,10,3,0,4251.37
I5208,corteza amarilla,16.3,7,,0,0
I5209,frijolillo,19.4,15,5,0,2140.09
I5210,guácimo,25.7,8,,0,0
I5211,fruta de pava,22.5,15,3,0,0
I5212,frijolillo,27.3,18,5,0,4237.93
I5213,frijolillo,25.5,18,4,0,2958.00
I5214,carao espinoso,20.2,15,,0,0
I5215,carao espinoso,17.6,12,,0,0
I5216,frijolillo,28.3,19,10,0,9108.17
I5217,carao espinoso,27.5,13,,0,0
I5218,guácimo,21,8,,0,0
I5219,guácimo,16,8,,0,0
I5220,carao espinoso,15.5,8,,0,0
I5221,guanacaste,80.5,20,2,1,37217.02
I5222,frijolillo,27.5,15,4,0,3440.20
I5223,frijolillo,23.2,17,3,0,1836.35
I5224,frijolillo,20.7,17,3,0,1461.91
I5225,fruta de pava,27.2,8,3,0,0
I5226,corteza amarilla,20.5,8,3,0,3584.49
I5227,frijolillo,21,16,4,0,2006.12
I5228,frijolillo,24.6,16,4,0,2752.89
I5229,frijolillo,20.3,16,4,0,1874.61
I5230,guanacaste,24,15,5,0,8270.13
I5231,sietecueros-pavillo,25.5,15,2,0,1479.00
I5232,sietecueros-pavillo,21.8,15,2,0,1080.94
I5233,cedro amargo,17.2,8,,0,0
I5234,corteza amarilla,20,6,,0,0
I5235,poró poró,28.5,16,7,0,0
I5236,guanacaste,72,17,2,0,29772.47
I5237,frijolillo,26.3,18,4,0,3146.52
I5238,frijolillo,27.8,18,4,0,3515.67
I5239,sietecueros-pavillo,25,8,,0,0
I5240,sietecueros-pavillo,24.8,8,,0,0
I5241,corteza amarilla,15.3,5,,0,0
I5242,carao espinoso,16,4,,0,0
I5243,carao espinoso,19,6,,0,0
I5244,carao espinoso,16,6,,0,0
I5245,guachipelín ratón,17,6,,0,0
I5246,poró poró,25.2,10,3,0,0
I5247,corteza amarilla,18.5,6,2,0,1946.13
I5248,cedro amargo,17.6,5,,0,0
I5249,chaperno,22,3,,0,0
I5250,indio pelado,38,8,,0,0
I5251,frijolillo,24,8,,0,0
I5252,frijolillo,20.2,8,,0,0
I5253,indio pelado,17.8,6,,0,0
I5254,carao espinoso,20.5,8,,0,0
I5255,carao espinoso,24.6,8,,0,0
I5256,carao espinoso,25.5,15,4,0,0
I5257,carao espinoso,32.5,15,2,0,0
I5258,carao espinoso,24,15,,0,0
I5259,carao espinoso,30.6,15,2,0,0
I5260,carao espinoso,22.3,15,2,0,0
I5261,carao espinoso,35.7,15,2,0,0
I5262,guácimo,36,10,3,0,3039.89
I5263,frijolillo,17.5,13,4,0,1393.14
I5264,jobo,21,9,,0,0
I5265,frijolillo,23.7,15,4,0,2555.14
I5266,chaperno,17.3,5,,0,0
I5267,indio pelado,23,10,3,0,0
I5268,arenillo,17.8,8,,0,0
I5269,jocote,24.5,6,2,0,0
I5270,frijolillo,20.8,16,5,0,2460.11
I5271,sietecueros-pavillo,30.2,12,,0,0
I5272,sietecueros-pavillo,22.6,12,,0,0
I5273,sietecueros-pavillo,18,12,,0,0
I5274,chaperno,19,12,3,0,1231.65
I5275,chaperno,15.6,12,3,0,830.29
I5276,chaperno,21.2,12,3,0,1533.39
I5277,guanacaste,84,20,,0,0
I5278,guácimo,22.8,10,2,0,812.89
I5279,carao espinoso,17.8,10,,0,0
I5280,corteza amarilla,21.7,7,,0,0
I5281,carao espinoso,15.4,6,,0,0
I5282,guachipelín ratón,15.3,13,,0,0
I5283,cedro amargo,19,10,,0,0
I5284,frijolillo,32.3,20,2,0,2372.98
I5285,guanacaste,21.2,15,,0,0
I5286,arenillo,32.3,8,,0,0
I5287,guácimo,23,7,,0,0
I5288,sietecueros-pavillo,21,8,3,0,1504.59
I5289,arenillo,28.4,6,,0,0
I5290,frijolillo,30.2,20,4,0,4148.89
I5291,frijolillo,20.8,20,4,0,1968.09
I5292,indio pelado,29.2,10,3,0,0
I5293,chaperno,26.5,15,3,0,2395.92
I5294,chaperno,21.2,15,3,0,1533.39
I5295,frijolillo,22,12,3,0,1651.30
I5296,indio pelado,19.5,6,,0,0
I5297,indio pelado,19.6,6,2,0,0
I5298,indio pelado,19.4,5,2,0,0
I5299,indio pelado,17,8,2,0,0
I5300,frijolillo,23.5,18,4,0,2512.20
I5301,guanacaste,75,20,5,1.1045,80762.98
I5302,frijolillo,33.1,20,3,0,3737.97
I5303,frijolillo,24.8,18,4,0,2797.83
I5304,arenillo,50.2,15,5,0,17912.07
I5305,cocobolo,26.4,6,2,0,4716.10
I5306,cocobolo,29,12,3,0,8536.16
I5307,cocobolo,24,8,2,0,3897.61
I5308,frijolillo,30,20,4,0,4094.12
I5309,carao espinoso,19.3,10,,0,0
I5310,cocobolo,15.5,6,,0,0
I5311,frijolillo,30.5,18,,0,0
I5312,sietecueros-pavillo,26.3,12,2,0,1573.26
I5313,indio pelado,23.3,5,2,0,0
I5314,pochote,31.4,12,3,0,3363.87
I5315,indio pelado,21.6,8,2,0,0
I5316,laurel,28,18,4,0,5037.59
I5317,indio pelado,29.5,10,2,0,0
I5318,indio pelado,16,6,,0,0
I5319,guácimo,26.2,10,2,0,1073.41
I5320,guácimo,35.7,10,2,0,1992.96
I5321,guácimo,33.7,10,3,0,2663.86
I5322,guácimo,24.8,10,3,0,1442.63
I5323,guácimo,21,10,3,0,1034.41
I5324,indio pelado,15.6,6,2,0,0
I5325,indio pelado,29.1,12,4,0,0
I5326,indio pelado,19.5,6,2,0,0
I5327,indio pelado,18.5,10,3,0,0
I5328,indio pelado,19.2,10,3,0,0
I5329,indio pelado,26.3,10,2,0,0
I5330,indio pelado,27.4,12,4,0,0
I5331,indio pelado,22.3,12,2,0,0
I5332,indio pelado,30.3,10,2,0,0
I5333,pochote,34.4,9,3,0,4037.35
I5334,poró poró,25.3,12,4,0,0
I5335,frijolillo,22.5,16,2,0,1151.47
I5336,indio pelado,27.5,12,2,0,0
I5337,indio pelado,25,9,2,0,0
I5338,indio pelado,21.8,12,2,0,0
I5339,indio pelado,22.8,12,2,0,0
I5340,indio pelado,22.4,12,2,0,0
I5341,indio pelado,32.5,10,2,0,0
I5342,guácimo,17,8,,0,0
I5343,guácimo,17.8,8,,0,0
I5344,guácimo,16.5,8,,0,0
I5345,carao espinoso,15.4,10,,0,0
I5346,jocote,28.5,6,2,0,0
I5347,frijolillo,22,10,,0,0
I5348,corteza amarilla,17.7,6,,0,0
I5349,frijolillo,21.5,10,,0,0
I5350,arenillo,23,10,4,0,3008.04
I5351,arenillo,20.8,10,3,0,1845.09
I5352,indio pelado,19,10,3,0,0
I5353,indio pelado,28,12,2,0,0
I5354,indio pelado,27.3,10,4,0,0
I5355,indio pelado,29,12,3,0,0
I5356,indio pelado,31.8,12,3,0,0
I5357,arenillo,17.5,8,,0,0
I5358,frijolillo,19.4,18,3,0,1284.05
I5359,indio pelado,15,6,,0,0
I5360,cedro manteco,19.5,6,2,0,594.61
I5361,frijolillo,28,10,2,0,1783.22
I5362,arenillo,21.3,8,3,0,1934.86
I5363,indio pelado,15.6,6,,0,0
I5364,indio pelado,31,13,3,0,0
I5365,frijolillo,26.7,14,4,0,3242.96
I5366,indio pelado,18.7,8,2,0,0
I5367,indio pelado,15.9,8,2,0,0
I5368,indio pelado,26.8,10,2,0,0
I5369,cedro amargo,21.2,10,2,0,3079.55
I5370,frijolillo,26.6,15,4,0,3218.71
I5371,indio pelado,15.7,8,,0,0
I5372,cedro manteco,21,10,4,0,1379.21
I5373,frijolillo,30,13,4,0,4094.12
I5374,guácimo,18.5,10,2,0,535.19
I5375,guácimo,19.5,10,2,0,594.61
I5376,guácimo,19,10,2,0,564.51
I5377,frijolillo,17.3,3,,0,0
I5378,jobo,16.3,8,,0,0
I5379,indio pelado,26.3,8,2,0,0
I5380,indio pelado,30.6,9,4,0,0
I5381,indio pelado,16.8,6,2,0,0
I5382,indio pelado,15.5,6,,0,0
I5383,indio pelado,15.2,6,,0,0
I5384,indio pelado,26.3,6,2,0,0
I5385,indio pelado,16.8,8,2,0,0
I5386,indio pelado,29,8,2,0,0
I5387,indio pelado,22.7,8,,0,0
I5388,indio pelado,18.2,6,,0,0
I5389,indio pelado,17.3,5,,0,0
I5390,frijolillo,22,12,4,0,2201.73
I5391,frijolillo,17.8,12,4,0,1441.31
I5392,indio pelado,27.8,6,2,0,0
I5393,frijolillo,15.7,10,,0,0
I5394,frijolillo,16.8,10,,0,0
I5395,corteza amarilla,17,6,,0,0
I5396,poró poró,23.9,10,3,0,0
I5397,poró poró,16.4,10,,0,0
I5398,frijolillo,18.3,10,,0,0
I5399,jocote,16.2,7,,0,0
I5400,frijolillo,20.4,15,3,0,1419.84
I5401,frijolillo,20.7,15,3,0,1461.91
I5402,frijolillo,15.5,12,,0,0
I5403,frijolillo,26.4,15,3,0,2377.87
I5404,frijolillo,25.8,15,3,0,2271.01
I5405,indio pelado,18.8,6,2,0,0
I5406,poró poró,23.3,8,,0,0
I5407,poró poró,16.8,9,,0,0
I5408,poró poró,23.8,10,,0,0
I5409,arenillo,30.7,10,4,0,5359.26
I5410,guácimo,20.5,8,,0,0
I5411,guácimo,18.7,8,,0,0
I5412,saíno,41,18,3,0,7168.98
I5413,guanacaste,41.5,20,5,0,24727.83
I5414,guanacaste,52.8,20,3,0,24016.46
I5415,sietecueros-pavillo,25,16,2,0,1421.57
I5416,sietecueros-pavillo,20.2,16,2,0,928.09
I5417,sietecueros-pavillo,18.8,16,2,0,803.90
I5418,saíno,17.7,16,4,0,1781.46
I5419,guanacaste,83.7,20,5,1.3756,100586.74
I5420,carao espinoso,33.7,18,,0,0
I5421,jocote,20,6,,0,0
I5422,frijolillo,15.3,12,,0,0
I5423,indio pelado,26.3,8,2,0,0
I5424,indio pelado,16.4,5,,0,0
I5425,indio pelado,18.8,5,,0,0
I5426,indio pelado,15,6,,0,0
I5427,pochote,61,18,8,1.169,33853.85
I5428,indio pelado,18,6,,0,0
I5429,cenízaro,34.5,15,4,0,12385.62
I5430,mora,16.7,8,,0,0
I5431,pochote,73.4,18,3,1,18381.11
I5432,pochote,83.7,18,3,1,23901.80
I5433,corteza amarilla,30.5,6,3,0,7934.50
I5434,frijolillo,32.2,16,3,0,3537.46
I5435,frijolillo,21.6,18,4,0,2122.39
I5436,frijolillo,23.5,19,3,0,1884.15
I5437,frijolillo,34.9,20,4,0,5540.76
I5438,guácimo,17.7,6,,0,0
I5439,frijolillo,25.5,17,6,0,4437.01
I5440,laurel,17.6,8,3,0,1492.77
I5441,laurel,16,8,,0,0
I5442,laurel,23.7,10,2,0,1804.57
I5443,laurel,20.6,10,2,0,1363.36
I5444,laurel,23.4,12,2,0,1759.17
I5445,laurel,18.8,12,2,0,1135.51
I5446,guácimo,26,10,2,0,1057.08
I5447,guanacaste,77.5,20,6,1.4152,103484.30
I5448,chaperno,18.3,15,,0,0
I5449,chaperno,17.5,12,,0,0
I5450,chaperno,16.3,12,,0,0
I5451,guácimo macho,22.7,10,3,0,0
I5452,laurel,31.4,14,8,0,12670.57
I5453,guácimo,29,8,,0,0
I5454,jobo,23.2,10,4,0,1989.38
I5455,saíno,34.8,20,8,0,13772.63
I5456,frijolillo,19.2,15,3,0,1257.71
I5457,guácimo macho,18.3,8,2,0,0
I5458,guácimo,24.5,10,2,0,938.63
I5459,guácimo,27.5,10,2,0,1182.57
I5460,guayaquil,17.7,10,2,0,659.14
I5461,corteza amarilla,23.3,10,2,0,3087.03
I5462,guanacaste,46.7,20,4,0,25050.34
I5463,corteza amarilla,25.8,10,4,0,7570.03
I5464,frijolillo,20.9,20,4,0,1987.06
I5465,frijolillo,19.2,20,2,0,838.48
I5466,corteza amarilla,15.5,10,2,0,1366.13
I5467,corteza amarilla,18.5,6,,0,0
I5468,frijolillo,23.1,20,5,0,3034.26
I5469,guanacaste,74,19,4,1,62898.93
I5470,indio pelado,16,8,3,0,0
I5471,frijolillo,19,15,3,0,1231.65
I5472,guachipelín,25,15,3,0,2665.45
I5473,frijolillo,16.2,10,,0,0
I5474,frijolillo,16.1,10,,0,0
I5475,corteza amarilla,16,6,,0,0
I5476,guácimo,22.5,10,,0,0
I5477,guácimo,15,10,,0,0
I5478,corteza amarilla,18.7,10,3,0,2982.65
I5479,frijolillo,18.8,20,3,0,1205.86
I5480,frijolillo,19.8,20,3,0,1337.55
I5481,corteza amarilla,17.8,8,,0,0
I5482,indio pelado,32.6,10,,0,0
I5483,indio pelado,22.3,10,,0,0
I5484,corteza amarilla,17,8,,0,0
I5485,corteza amarilla,21,10,2,0,2507.65
I5486,frijolillo,18.8,15,3,0,1205.86
I5487,corteza amarilla,18,8,2,0,1842.36
I5488,laurel,21,12,3,0,2125.23
I5489,laurel,20.6,10,2,0,1363.36
I5490,guanacaste,61.3,20,5,1,53952.40
I5491,guanacaste,41,22,5,0,24135.57
I5492,laurel,27.5,15,3,0,3644.46
I5493,guácimo,20,8,,0,0
I5494,frijolillo,18.2,15,3,0,1130.11
I5495,frijolillo,17.5,15,3,0,1044.85
I5496,saíno,42.5,18,6,0,15406.27
I5497,corteza amarilla,17.2,10,2,0,1682.23
I5498,frijolillo,15.3,12,,0,0
I5499,laurel,25.8,8,,0,0
I5500,frijolillo,24.4,22,4,0,2708.31
I5501,jobo,15,4,,0,0
I5502,frijolillo,15,12,,0,0
I5503,corteza amarilla,15,8,,0,0
I5504,laurel,18.5,10,,0,0
I5505,laurel,19.2,8,,0,0
I5506,guanacaste,75.5,22,5,1.1192,81843.41
I5507,frijolillo,25.5,18,3,0,2218.50
I5508,frijolillo,25.7,18,3,0,2253.44
I5509,frijolillo,21.5,18,3,0,1577.09
I5510,frijolillo,18.6,14,,0,0
I5511,frijolillo,15.5,14,,0,0
I5512,laurel,17.5,8,,0,0
I5513,frijolillo,27,15,4,0,3316.24
I5514,laurel,30,10,4,0,5782.95
I5515,corteza amarilla,16.6,8,,0,0
I5516,frijolillo,24.1,18,3,0,1981.59
I5517,frijolillo,26,18,3,0,2306.36
I5518,sietecueros-pavillo,18,10,,0,0
I5519,laurel,31,12,4,0,6174.90
I5520,laurel,33.2,16,8,0,14164.89
I5521,roble sabana,28,15,5,0,4903.85
I5522,roble sabana,26.4,10,3,0,2615.65
I5523,roble sabana,19.8,10,,0,0
I5524,guácimo,16.2,10,,0,0
I5525,guácimo,19,10,,0,0
I5526,laurel,22.8,12,4,0,3340.23
I5527,laurel,21.8,10,2,0,1526.83
I5528,jocote,22,14,5,0,0
I5529,laurel,20.2,12,4,0,2621.86
I5530,laurel,16.5,7,,0,0
I5531,pochote,82,20,2,1,15293.83
I5532,guanacaste,55,23,5,1,43432.54
I5533,laurel,23.7,20,8,0,7218.28
I5534,laurel,25.8,15,6,0,6415.60
I5535,laurel,19,13,5,0,2899.51
I5536,guácimo,17.8,9,,0,0
I5537,corteza amarilla,15.7,8,,0,0
I5538,laurel,15.3,8,,0,0
I5539,pochote,22.2,8,,0,0
I5540,frijolillo,16.2,10,,0,0
I5541,laurel,28.4,14,4,0,5182.55
I5542,guanacaste,58.2,23,6,1,58360.24
I5543,guácimo,34,10,3,0,2711.50
I5544,guácimo,26.2,10,3,0,1610.11
I5545,laurel,23.6,15,4,0,3578.75
I5546,laurel,16.5,13,4,0,1749.34
I5547,laurel,20.5,14,3,0,2025.24
I5548,guácimo,29.2,9,3,0,1999.95
I5549,guácimo,20.8,10,2,0,676.53
I5550,roble sabana,24,8,,0,0
I5551,guácimo,18.6,6,,0,0
I5552,chaperno blanco,17.7,10,,0,0
I5553,laurel,27.2,15,5,0,5942.30
I5554,laurel,35.5,15,5,0,10122.17
I5555,guácimo,31,8,2,0,1502.74
I5556,guácimo,31.8,8,2,0,1581.30
I5557,guanacaste,88,23,6,1.8246,133424.76
I5558,guácimo,28.2,10,4,0,2487.08
I5559,guácimo,17.8,8,,0,0
I5560,jaboncillo,19.8,10,,0,0
I5561,guácimo,25.9,10,4,0,2097.93
I5562,carao espinoso,27,18,3,0,0
I5563,frijolillo,34.5,15,5,0,6768.10
I5564,guácimo,21.3,10,2,0,709.45
I5565,cenízaro,21.8,15,3,0,3708.97
I5566,chapernillo,17.3,10,3,0,0
I5567,chapernillo,15.3,8,,0,0
I5568,guácimo,18,8,,0,0
I5569,guácimo,32.3,10,4,0,3262.84
I5570,guácimo,27.8,10,4,0,2417.02
I5571,guayaquil,36.5,17,7,0,9810.34
I5572,madero negro,17.6,12,,0,0
I5573,guácimo,29.4,10,3,0,2027.44
I5574,guácimo,15.3,8,,0,0
I5575,guácimo,19.3,8,,0,0
I5576,laurel,31.6,15,4,0,6416.25
I5577,caoba,22.7,10,3,0,5230.20
I5578,frijolillo,25.2,23,4,0,2888.81
I5579,frijolillo,30.2,23,4,0,4148.89
I5580,guácimo macho,26.5,8,,0,0
I5581,sietecueros-pavillo,21,10,3,0,1504.59
I5582,sietecueros-pavillo,15.2,10,,0,0
I5583,corteza amarilla,27.2,10,5,0,10517.35
I5584,saíno,42.5,20,6,0,15406.27
I5585,guanacaste,37,18,4,0,15724.73
I5586,guácimo,15,6,,0,0
I5587,carao espinoso,33.2,17,3,0,0
I5588,carao espinoso,40.7,17,4,0,0
I5589,carao espinoso,20,17,,0,0
I5590,carao espinoso,24.8,17,,0,0
I5591,saíno,54,12,4,0,16581.20
I5592,indio pelado,20,8,4,0,0
I5593,capulín,16.5,6,,0,0
I5594,guachipelín,15,6,,0,0
I5595,sietecueros-pavillo,19.3,8,,0,0
I5596,guácimo,16.6,8,,0,0
I5597,sietecueros-pavillo,20.5,8,3,0,1433.80
I5598,guachipelín,32,12,4,0,5822.75
I5599,cenízaro,56.4,16,5,1,41375.93
I5600,guácimo,20.6,6,,0,0
I5601,guácimo,16.5,6,,0,0
I5602,sietecueros-pavillo,17.4,7,3,0,1032.95
I5603,sietecueros-pavillo,15.3,8,,0,0
I5604,sietecueros-pavillo,23,10,3,0,1804.83
I5605,saíno,50,15,3,0,10661.78
I5606,guácimo,21.2,10,,0,0
I5607,guachipelín,18.3,9,2,0,952.14
I5608,sietecueros-pavillo,35.5,18,3,0,4299.68
I5609,sietecueros-pavillo,15,18,,0,0
I5610,sietecueros-pavillo,17.5,18,,0,0
I5611,guácimo,20.2,12,,0,0
I5612,panama,60,17,6,1,19958.85
I5613,carao espinoso,17.5,5,2,0,0
I5614,carao espinoso,22.2,8,3,0,0
I5615,guácimo,16.5,6,,0,0
I5616,guácimo,15,6,,0,0
I5617,guácimo,16.2,6,,0,0
I5618,guácimo,16,6,,0,0
I5619,indio pelado,19.8,9,4,0,0
I5620,guanacaste blanco,26,8,5,0,9705.92
I5621,guácimo,22,8,4,0,1513.69
I5622,roble sabana,22.5,9,4,0,2533.24
I5623,guácimo,24.5,8,2,0,938.63
I5624,laurel,18.2,8,,0,0
I5625,guácimo,25.4,10,3,0,1513.28
I5626,guácimo,22,10,3,0,1135.27
I5627,laurel,22.7,12,3,0,2483.25
I5628,guácimo,23.5,10,,0,0
I5629,guácimo,19.5,10,2,0,594.61
I5630,guácimo,20,7,2,0,625.49
I5631,cenízaro,41,24,8,1,34984.63
I5632,guácimo,15.5,6,,0,0
I5633,guácimo,15,6,,0,0
I5634,guácimo,19.5,8,4,0,1189.21
I5635,guácimo,19,3,,0,0
I5636,carao,44.8,18,5,0,0
I5637,carao,38.3,20,4,0,0
I5638,carao,41,20,6,0,0
I5639,guácimo,18.2,6,,0,0
I5640,guácimo,17,10,2,0,451.92
I5641,guácimo,29.1,10,3,0,1986.27
I5642,guácimo,16,8,,0,0
I5643,carao,31.1,20,6,0,0
I5644,laurel muñeco,20.6,7,3,0,2045.04
I5645,guácimo,15,8,,0,0
I5646,panama,15.5,10,,0,0
I5647,ojoche,17.2,10,,0,0
I5648,mamón,19,12,,0,0
I5649,guácimo,46.5,13,5,0,8452.93
I5650,cenízaro,115.3,24,6,3.1323,207505.40
I5651,alcornoque,21,15,5,0,3134.56
I5652,alcornoque,17.2,15,,0,0
I5653,fruta de pava,22.8,20,6,0,0
I5654,guácimo,49.7,10,3,0,5793.82
I5655,laurel,21.2,16,4,0,2887.88
I5656,guachipelín,32.8,9,2,0,3058.77
I5657,guácimo,21,6,,0,0
I5658,corteza amarilla,17.5,9,3,0,2612.14
I5659,guapinol,19.8,12,3,0,3343.88
I5660,tabaquillo,15.5,10,,0,0
I5661,ceibo barrigón,42,20,6,0,11284.43
I5662,guapinol,34.3,20,6,0,20069.56
I5663,guapinol,32,20,6,0,17468.26
I5664,guácimo,30.5,10,3,0,2181.99
I5665,guácimo,29,10,3,0,1972.64
I5666,guácimo,25.7,10,3,0,1549.24
I5667,madroño,15,12,,0,0
I5668,guácimo,18.5,10,2,0,535.19
I5669,guácimo,20,10,,0,0
I5670,guácimo,26,10,3,0,1585.62
I5671,guácimo,20.5,8,,0,0
I5672,guácimo,19.2,8,,0,0
I5673,guácimo,49.7,15,5,0,9656.37
I5674,guácimo,29,15,3,0,1972.64
I5675,corteza amarilla,15,12,,0,0
I5676,guácimo macho,18.7,15,,0,0
I5677,madroño,16.5,10,,0,0
I5678,fruta de pava,15,14,,0,0
I5679,guácimo,19.2,12,,0,0
I5680,guácimo,25.2,15,2,0,993.03
I5681,guácimo,15,15,,0,0
I5682,madroño,17.8,12,,0,0
I5683,guácimo,28.7,10,3,0,1932.04
I5684,guácimo,20.5,10,3,0,985.73
I5685,madroño,21.2,15,4,0,0
I5686,guácimo,26.6,10,4,0,2212.86
I5687,madroño,16.3,12,,0,0
I5688,guácimo,35,10,3,0,2873.35
I5689,manga larguita,18,12,,0,0
I5690,cedro manteco,15.2,12,4,0,722.57
I5691,carao,33.7,16,5,0,0
I5692,cedro manteco,27,20,6,0,3419.87
I5693,caoba,15,8,,0,0
I5694,cenízaro,98.2,24,2,1,50173.28
I5695,guácimo,41.5,10,3,0,4039.70
I5696,guácimo,27.8,10,3,0,1812.77
I5697,laurel,27.5,16,6,0,7288.93
I5698,guácimo,15,16,,0,0
I5699,sietecueros-pavillo,20.3,12,,0,0
I5700,saíno,25,10,4,0,3553.93
I5701,saíno,30.6,20,4,0,5324.41
I5702,saíno,29.8,20,8,0,10099.29
I5703,guácimo,20.8,18,3,0,1014.80
I5704,guácimo,20.8,14,3,0,1014.80
I5705,guácimo,16,10,,0,0
I5706,guácimo,31.6,14,3,0,2342.21
I5707,guácimo,28.6,14,3,0,1918.60
I5708,guácimo,38.3,14,2,0,2293.82
I5709,cenízaro,38.7,16,6,0,23377.21
I5710,guayaquil,22,15,,0,0
I5711,mora,60.3,20,6,1,27912.38
I5712,guachipelín ratón,20.5,15,,0,0
I5713,guácimo,31,10,3,0,2254.11
I5714,saíno,34.7,20,8,0,13693.59
I5715,guácimo,23,12,3,0,1240.82
I5716,guácimo,16.6,12,,0,0
I5717,sietecueros-pavillo,16.7,7,,0,0
I5718,carao,42.5,15,2,0,0
I5719,carao espinoso,19.7,12,,0,0
I5720,guayaquil,37,17,6,0,8640.82
I5721,guácimo,20.2,8,2,0,638.06
I5722,mora,19,8,2,0,923.74
I5723,guácimo,16.7,6,2,0,436.11
I5724,jocote,20,8,2,0,0
I5725,saíno,30.4,18,5,0,6568.79
I5726,saíno,32,20,8,0,11645.51
I5727,guayaquil,36,20,8,0,10906.75
I5728,guácimo,19.7,12,4,0,1213.73
I5729,cenízaro,86,22,2,1,38481.01
I5730,guayaquil,51.3,20,6,1,16610.63
I5731,guácimo,25.3,12,3,0,1501.39
I5732,guácimo,16.5,12,3,0,638.59
I5733,cenízaro,47.3,22,4,0,23281.01
I5734,cenízaro,53.5,22,4,0,29784.28
I5735,cenízaro,54,22,3,0,22757.70
I5736,guácimo,32,12,4,0,3202.51
I5737,carao espinoso,20.5,18,3,0,0
I5738,guácimo,25.2,16,4,0,1986.06
I5739,corteza amarilla,23.3,12,4,0,6174.05
I5740,guácimo,16.3,8,2,0,415.47
I5741,saíno,32.2,20,8,0,11791.53
I5742,laurel,24.6,15,6,0,5832.68
I5743,guácimo,15,6,,0,0
I5744,soncoya,21.8,16,4,0,0
I5745,guácimo,22,16,3,0,1135.27
I5746,carao,35,18,5,0,0
I5747,corteza amarilla,52.8,20,4,0,31704.89
I5748,guácimo,18.2,6,2,0,517.97
I5749,laurel,32.5,18,9,0,15270.60
I5750,soncoya,18.6,12,3,0,0
I5751,laurel,26.5,18,6,0,6768.46
I5752,guácimo,26.3,8,2,0,1081.61
I5753,guácimo,47.8,13,3,0,5359.30
I5754,guácimo,18.3,13,,0,0
I5755,guácimo,18.4,8,2,0,529.42
I5756,guácimo,23.6,6,,0,0
I5757,saíno,34,18,8,0,13146.69
I5758,laurel,26.4,15,3,0,3358.74
I5759,cenízaro,71,23,6,1.1878,78684.19
I5760,laurel,21.6,12,4,0,2997.88
I5761,guácimo,26.2,10,4,0,2146.81
I5762,caoba,15.1,8,,0,0
I5763,guácimo,26.3,6,,0,0
I5764,laurel,28.6,16,5,0,6569.75
I5765,laurel,19.5,16,2,0,1221.65
I5766,guanacaste,67.3,22,6,1.0672,78037.11
I5767,guácimo,30,8,,0,0
I5768,fruta de pava,23.6,10,,0,0
I5769,ceiba,47.3,18,12,1.0543,28624.19
I5770,ceibo barrigón,25.2,12,6,0,4062.39
I5771,manga larguita,21,10,3,0,1128.44
I5772,caoba,26.3,10,2,0,4680.44
I5773,cenízaro,114,22,3,1.5311,101426.28
I5774,fruta de pava,24,15,5,0,0
I5775,carao,24,15,6,0,0
I5776,laurel,23.4,14,7,0,6157.11
I5777,guácimo,44,12,4,0,6054.75
I5778,guácimo,25.5,10,3,0,1525.22
I5779,guácimo,25.8,9,3,0,1561.32
I5780,panama,17.3,15,3,0,829.65
I5781,saíno,67.2,20,2,0,12839.17
I5782,guácimo,41.5,15,5,0,6732.83
I5783,guácimo,30.7,10,,0,0
I5784,guácimo,19.7,10,,0,0
I5785,guácimo,21.5,9,,0,0
I5786,guácimo,16,8,,0,0
I5787,guácimo,25.7,9,3,0,1549.24
I5788,guácimo,27.8,14,4,0,2417.02
I5789,guácimo,45,10,4,0,6333.10
I5790,guácimo,25.5,8,4,0,2033.63
I5791,guácimo,20,6,,0,0
I5792,guácimo,30,12,3,0,2111.03
I5793,guácimo,32,12,4,0,3202.51
I5794,guácimo,27,10,4,0,2279.92
I5795,guácimo,24,12,3,0,1351.06
I5796,guácimo,42.6,12,3,0,4256.69
I5797,guácimo,19.3,12,2,0,582.47
I5798,guácimo,17.8,6,,0,0
I5799,roble sabana,18,4,,0,0
I5800,guácimo,16,6,,0,0
I5801,guácimo,23,6,,0,0
I5802,saíno,42.7,15,6,0,15551.61
I5803,guácimo,24.5,10,3,0,1407.94
I5804,guácimo,16.5,10,,0,0
I5805,corteza amarilla,30.5,12,5,0,13224.16
I5806,saíno,29.9,18,2,0,2541.80
I5807,saíno,37,18,3,0,5838.39
I5808,guanacaste blanco,123,20,2,1.1882,86888.05
I5809,saíno,98.5,15,5,1.905,68962.17
I5810,cedro amargo,46,18,7,1,50745.69
I5811,roble sabana,47.5,16,8,1,22580.23
I5812,saíno,41.6,15,6,0,14760.68
I5813,guácimo,40,8,3,0,3752.95
I5814,cedro amargo,57.5,9,4,1,45308.66
I5815,saíno,36,8,4,0,7369.42
I5816,guácimo,37.5,6,2,0,2198.99
